sleep_hours,study_hours,physical_activity,social_interaction,screen_time,diet_quality,heart_rate,anxiety_score,stress_level
6.2472407130841745,3.036462217224816,23.553511536231536,80.72435930506776,6.147962904552335,4.542719682496979,92.4128477038911,3.879945472888746,Low
9.704285838459498,6.960910421161939,22.228091916479983,95.60176766296468,8.248890963699877,5.260920934375193,68.61931810525832,18.677252823112934,Low
8.39196365086843,10.60240419464049,81.5629122468933,30.056147855099876,7.841448368111431,8.690926538819623,103.61972816774075,83.12458050899426,Medium
7.59195090518222,9.054473750505172,22.459157986455548,74.98489195283987,2.385099142243963,4.060039474539029,90.65581195346208,76.67683563383358,Medium
4.936111842654619,9.872172626475948,24.47547535157679,68.60951797724984,2.343245227673265,8.826847163309541,67.86019417784772,35.06426914571469,Medium
4.935967122017216,8.246617033817891,68.34584361761674,99.93964521459253,3.41356930970422,1.7932098787902233,108.11690287406034,37.681062777421246,Medium
4.3485016730091965,8.615042209696377,40.4765858205486,108.73044725775127,4.249672537069335,7.991185934877676,85.91827316676603,53.35544335535795,Medium
9.197056874649611,10.341152167218512,69.9039501259663,1.458812577286417,4.676100232676344,8.627928697492628,63.64492259358275,0.02410046851345493,Low
7.606690070459253,3.7463480974510452,5.8829541807946715,80.88239028705512,7.117274951500107,2.6363588755360485,91.34164522075336,24.124433603802785,Low
8.248435466776273,6.383674600074546,43.88140743060459,6.220295894367482,1.5101238894925186,4.873118791349804,72.65994535064051,20.823180860821445,Low
4.123506965774815,3.4333038600156245,3.0252240164954367,65.86303980928271,1.3120543380345975,2.4894979719729005,100.18467259386512,25.048294674976347,Medium
9.819459112971966,11.864348087963117,5.638788310981907,34.515927485241384,4.527195066495182,7.35943716094796,100.89110367830953,80.59058425334413,Medium
8.99465584480253,11.384652736552745,81.57937080099698,36.81319194265694,7.274473229241824,5.818129912554911,108.94736779273309,27.967385654644318,Low
5.2740346640696565,1.4336949250535649,12.532083400583565,42.35502041428279,2.7409180866083434,6.717910120374889,85.0934765512252,19.152132205014816,Low
